Experiment,Regime,Treatment,Tt_length,Xpoint,Exp_date,Experimenter,Img_date,Markers
020614_R1,R1,Control,24h,xp,20140206,NS,20140227,C2G6NG
020614_R1,R1,Control,48h,ep,20140206,NS,20140227,C2G6NG
020614_R1,R1,FGF4_1000,24h,xp,20140206,NS,20140227,C2G6NG
020614_R1,R1,FGF4_1000,48h,ep,20140206,NS,20140227,C2G6NG
020614_R3,R3,Control,24h,ep,20140206,NS,20140219,C2G6NG
020614_R3,R3,FGF4_1000,24h,ep,20140206,NS,20140219,C2G6NG
020614_R3,R3,Littermate,NA,sp,20140206,NS,20140219,C2G6NG
020614_R4,R4,Control,20h,ep,20140206,NS,20140224,C2G6NG
020614_R4,R4,FGF4_1000,20h,ep,20140206,NS,20140224,C2G6NG
020614_R4,R4,Littermate,NA,sp,20140206,NS,20140224,C2G6NG
032514_R3,R3,Control,24h,ep,20140325,NS,20140404,C2G6NG
032514_R3,R3,FGF4_1000,24h,ep,20140325,NS,20140404,C2G6NG
032514_R3,R3,Littermate,NA,sp,20140325,NS,20140404,C2G6NG
032514_R4,R3,Control,20h,ep,20140325,NS,20140402,C2G6NG
032514_R4,R3,FGF4_1000,20h,ep,20140325,NS,20140402,C2G6NG
032514_R4,R3,Littermate,NA,sp,20140325,NS,20140404,C2G6NG
032514_R4,R3,PD03_1,20h,ep,20140325,NS,20140402,C2G6NG
032714_R1,R1,Control,24h,xp,20140327,NS,20140407,C2G6NG
032714_R1,R1,Control,48h,ep,20140327,NS,20140407,C2G6NG
032714_R1,R1,FGF4_1000,24h,xp,20140327,NS,20140407,C2G6NG
032714_R1,R1,FGF4_1000,48h,ep,20140327,NS,20140407,C2G6NG
032714_R1,R1,PD03_1,24h,xp,20140327,NS,20140407,C2G6NG
032714_R1,R1,PD03_1,48h,ep,20140327,NS,20140407,C2G6NG
041014_R5,R5,Control,29h,ep,20140410,NS,20140416,C2G6NG
041014_R5,R5,FGF4_1000,29h,ep,20140410,NS,20140416,C2G6NG
041014_R5,R5,Littermate,NA,sp,20140410,NS,20140417,C2G6NG
041114_R5,R5,Control,29h,ep,20140411,NS,20140418,C2G6NG
041114_R5,R5,FGF4_1000,29h,ep,20140411,NS,20140418,C2G6NG
041114_R5,R5,Littermate,NA,sp,20140411,NS,20140417,C2G6NG
041114_R5,R5,PD03_1,29h,ep,20140411,NS,20140418,C2G6NG
041514_R8,R8,Control,24h,xp,20140415,NS,20140421,C2G6NG
041514_R8,R8,Control,48h,ep,20140415,NS,20140421,C2G6NG
041514_R8,R8,FGF4_1000,24h,xp,20140415,NS,20140421,C2G6NG
041514_R8,R8,FGF4_1000,48h,ep,20140415,NS,20140421,C2G6NG
041514_R9,R9,Control,30h,xp,20140415,NS,20140422,C2G6NG
041514_R9,R9,Control,48h,ep,20140415,NS,20140422,C2G6NG
041514_R9,R9,FGF4_1000,30h,xp,20140415,NS,20140422,C2G6NG
041514_R9,R9,FGF4_1000,48h,ep,20140415,NS,20140422,C2G6NG
050114_R9,R9,Control,30h,xp,20140501,NS,20140512,C2G6NG
050114_R9,R9,Control,48h,ep,20140501,NS,20140512,C2G6NG
050114_R9,R9,FGF4_1000,30h,xp,20140501,NS,20140512,C2G6NG
050114_R9,R9,FGF4_1000,48h,ep,20140501,NS,20140512,C2G6NG
050115_R1,R1,AZD_1,24h,xp,20150501,NS,20150506,C2G6NG
050115_R1,R1,AZD_1,48h,ep,20150501,NS,20150506,C2G6NG
050115_R1,R1,Control,24h,xp,20150501,NS,20150506,C2G6NG
050115_R1,R1,Control,48h,ep,20150501,NS,20150506,C2G6NG
050115_R3,R5,AZD_1,30h,ep,20150501,NS,20150506,C2G6NG
050115_R3,R5,Control,30h,ep,20150501,NS,20150506,C2G6NG
050115_R3,R5,Littermate,NA,sp,20150501,NS,20150506,C2G6NG
050214_R5,R5,Control,29h,ep,20140502,NS,20140508,C2G6NG
050214_R5,R5,FGF4_1000,29h,ep,20140502,NS,20140508,C2G6NG
050214_R5,R5,Littermate,NA,sp,20140502,NS,20140507,C2G6NG
050415_R1,R1,AZD_1,24h,xp,20150504,NS,20150508,C2G6NG
050415_R1,R1,AZD_1,48h,ep,20150504,NS,20150508,C2G6NG
050415_R1,R1,Control,24h,xp,20150504,NS,20150508,C2G6NG
050415_R1,R1,Control,48h,ep,20150504,NS,20150508,C2G6NG
050415_R1,R1,SU_10,24h,xp,20150504,NS,20150508,C2G6NG
050415_R1,R1,SU_10,48h,ep,20150504,NS,20150508,C2G6NG
050815_R4a,R4,AZD_1,20h,ep,20150508,NS,20150519,C2G6NG
050815_R4a,R4,Control,20h,ep,20150508,NS,20150519,C2G6NG
050815_R4a,R4,Littermate,NA,sp,20150508,NS,20150519,C2G6NG
050815_R4b,R4,Control,20h,ep,20150508,NS,20150520,C2G6NG
050815_R4b,R4,Littermate,NA,sp,20150508,NS,20150520,C2G6NG
050815_R4b,R4,SU_20,20h,ep,20150508,NS,20150520,C2G6NG
050915_R1,R1,Control,48h,ep,20150509,NS,20150513,C2G6NG
050915_R1,R1,PD03_1,48h,ep,20150509,NS,20150513,C2G6NG
050915_R1,R1,SU_20,48h,ep,20150509,NS,20150513,C2G6NG
051414_R1,R1,Control,24h,xp,20140514,NS,20140523,C2G6NG
051414_R1,R1,Control,48h,ep,20140514,NS,20140523,C2G6NG
051414_R1,R1,PD03_1,24h,xp,20140514,NS,20140523,C2G6NG
051414_R1,R1,PD03_1,48h,ep,20140514,NS,20140523,C2G6NG
051414_R8,R8,Control,24h,xp,20140514,NS,20140522,C2G6NG
051414_R8,R8,Control,48h,ep,20140514,NS,20140522,C2G6NG
051414_R8,R8,PD03_1,24h,xp,20140514,NS,20140522,C2G6NG
051414_R8,R8,PD03_1,48h,ep,20140514,NS,20140522,C2G6NG
051414_R9,R9,Control,30h,xp,20140514,NS,20140522,C2G6NG
051414_R9,R9,Control,48h,ep,20140514,NS,20140522,C2G6NG
051414_R9,R9,PD03_1,30h,xp,20140514,NS,20140522,C2G6NG
051414_R9,R9,PD03_1,48h,ep,20140514,NS,20140522,C2G6NG
051514_R3,R3,Control,24h,ep,20140515,NS,20140529,C2G6NG
051514_R3,R3,Littermate,NA,sp,20140515,NS,20140528,C2G6NG
051514_R3,R3,PD03_1,24h,ep,20140515,NS,20140529,C2G6NG
052714_R4a,R4,Control,20h,ep,20140527,NS,20140609,C2G6NG
